序号,营业部名称,上榜后1天-买入次数,上榜后1天-平均涨幅,上榜后1天-上涨概率,上榜后2天-买入次数,上榜后2天-平均涨幅,上榜后2天-上涨概率,上榜后3天-买入次数,上榜后3天-平均涨幅,上榜后3天-上涨概率,上榜后5天-买入次数,上榜后5天-平均涨幅,上榜后5天-上涨概率,上榜后10天-买入次数,上榜后10天-平均涨幅,上榜后10天-上涨概率
111,华泰证券深圳彩田路证券营业部,6,-0.839424103333,16.666666666667,4,-0.3938937575,25.0,4,1.8874713475,50.0,4,4.5265343325,75.0,4,3.2297514375,25.0
112,中国银河证券北京珠市口大街证券营业部,6,2.368213843333,50.0,6,0.852194865,33.333333333333,6,-1.259404361667,33.333333333333,5,2.292213888,40.0,1,-5.7591623,0.0
113,招商证券北京建国路证券营业部,6,2.953695468333,66.666666666667,6,2.101458086667,66.666666666667,6,1.56294773,66.666666666667,6,0.803209,33.333333333333,4,-6.8529495525,25.0
114,国泰海通证券广州东风中路证券营业部,6,1.08234848,66.666666666667,6,0.332083276667,66.666666666667,6,-3.030985126667,33.333333333333,5,0.089828188,60.0,3,-11.63786213,33.333333333333
115,国泰海通证券哈尔滨兴江路证券营业部,6,-1.15635998,33.333333333333,5,1.270320094,60.0,5,2.352941176,40.0,5,0.073738898,40.0,3,-5.664488016667,0.0
116,华鑫证券上海宛平南路证券营业部,6,0.13003447,50.0,5,-3.851048344,20.0,5,-2.482993082,20.0,1,-3.30500472,0.0,1,-3.90934844,0.0
117,中国银河证券南京王府大街证券营业部,6,-0.13933121,16.666666666667,6,-2.614118896667,0.0,6,-6.586901391667,0.0,6,-10.457065345,16.666666666667,3,-16.67374381,0.0
118,国信证券福州五一中路证券营业部,6,-4.365830496667,33.333333333333,6,-5.453367518333,50.0,6,-8.171149405,33.333333333333,5,1.715120896,60.0,3,-1.418071623333,33.333333333333
119,国信证券佛山分公司,6,1.479246208333,50.0,6,1.848284491667,66.666666666667,5,-0.854780354,60.0,5,-0.636378684,20.0,0,0.0,0.0
120,国盛证券上海徐汇区虹桥路证券营业部,6,1.616984998333,33.333333333333,6,-0.083409413333,33.333333333333,6,-1.86623401,33.333333333333,6,-8.537834381667,0.0,1,-5.55555556,0.0
121,申万宏源证券深圳彩田路证券营业部,6,0.602532776667,50.0,6,2.612773105,66.666666666667,6,2.777042686667,50.0,6,7.323198485,66.666666666667,4,16.97949342,75.0
122,国信证券厦门湖滨北路证券营业部,6,-0.130351206667,50.0,6,-2.861815991667,16.666666666667,6,-3.767740111667,16.666666666667,5,-1.37052717,20.0,4,0.207358805,25.0
123,国投证券上海虹桥路证券营业部,6,-0.317460318333,33.333333333333,5,2.523809524,60.0,4,2.8273809525,25.0,3,17.43386243,33.333333333333,0,0.0,0.0
124,东方财富证券林芝广州大道证券营业部,6,-2.055466885,33.333333333333,6,-5.84048721,0.0,6,-4.790622001667,16.666666666667,6,-6.242011516667,33.333333333333,5,-8.567225472,40.0
125,中国银河证券三亚迎宾路证券营业部,6,0.750451935,33.333333333333,6,3.105954055,66.666666666667,6,4.443524948333,66.666666666667,6,-3.149700746667,50.0,4,-4.0512422125,50.0
126,中国中金财富证券北京望京启阳路证券营业部,6,-4.642903701667,16.666666666667,6,-7.716936366667,16.666666666667,6,-6.698958471667,33.333333333333,5,-4.374600284,60.0,3,-6.063321386667,33.333333333333
127,平安证券深圳金田路证券营业部,6,-1.771943781667,16.666666666667,6,-4.243244465,16.666666666667,6,-1.861672533333,33.333333333333,5,-1.762512896,40.0,3,-7.335257033333,0.0
128,中国中金财富证券南通如东青园北路证券营业部,6,-3.734562123333,33.333333333333,5,-8.407534846,20.0,5,-10.05174783,20.0,3,-9.304307836667,33.333333333333,2,-7.72193499,0.0
129,中国银河证券南京大明路证券营业部,6,1.051056153333,66.666666666667,5,4.049241126,40.0,4,1.4596402275,50.0,3,3.31994456,100.0,0,0.0,0.0
130,国泰海通证券上海浦东新区锦康路证券营业部,6,2.807631116667,50.0,4,0.90100391,50.0,3,-2.39186598,33.333333333333,3,-6.862845603333,0.0,1,-22.50922509,0.0
131,华宝证券上海东大名路证券营业部,6,2.112850641667,50.0,6,1.846200621667,50.0,4,-3.23788221,25.0,4,-6.7297634175,25.0,0,0.0,0.0
132,国金证券上海奉贤区金碧路证券营业部,6,-4.041063741667,33.333333333333,5,2.482245806,40.0,4,11.47307708,50.0,3,29.415413483333,100.0,2,28.952883645,50.0
133,长江证券上海分公司,6,9.983132593333,100.0,6,10.475372836667,83.333333333333,6,5.846403793333,66.666666666667,6,1.287290375,83.333333333333,4,-4.6675432925,25.0
134,东方证券厦门仙岳路证券营业部,6,-3.977932308333,16.666666666667,6,-7.628109095,16.666666666667,6,-10.49926112,16.666666666667,6,-15.261811506667,0.0,5,-14.889950468,0.0
135,国新证券海南分公司,6,1.289572333333,66.666666666667,5,0.12841882,40.0,5,-0.656869056,20.0,5,-0.043630952,40.0,5,-4.31190789,40.0
136,华福证券上海浦东新区浦明路证券营业部,6,0.853749836667,50.0,6,3.227130873333,50.0,6,1.20709004,50.0,6,2.140647376667,50.0,3,15.161013313333,66.666666666667
137,中信建投证券厦门环城西路证券营业部,6,-0.916801065,33.333333333333,6,-1.633138103333,50.0,5,1.960784312,40.0,3,21.487706193333,66.666666666667,1,11.76470588,100.0
138,广发证券深圳东滨路证券营业部,5,-12.418292848,0.0,5,-16.14212125,0.0,5,-23.569184286,0.0,3,-13.39668073,0.0,3,-11.56866305,0.0
139,华鑫证券佛山南海海五路证券营业部,5,-0.500047004,40.0,5,0.091295182,60.0,5,-2.148548974,60.0,5,-2.92975093,40.0,3,-8.860173673333,33.333333333333
