序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
74,603990,麦迪科技,2026-08-13,普通席位卖出，成功率40.76%,22.26,-9.9879,150445943.68,409968947.6,259523003.92,669491951.52,1419665341.0,10.597282284431,47.158434610259,20.5426,6794763294.06,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
75,605179,一鸣食品,2026-08-13,普通席位买入，成功率43.10%,33.43,10.0033,29955938.97,202128639.72,172172700.75,374301340.47,1681856072.0,1.781123811289,22.255253984064,6.4788,13405430000.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
76,605286,同力天启,2026-08-13,买一主买，成功率33.21%,34.09,10.0032,13014761.09,37661766.09,24647005.0,62308771.09,157675400.0,8.254148135981,39.517116233731,1.3558,5727120000.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
77,688137,近岸蛋白,2026-08-13,买一主买，成功率44.13%,64.0,20.0075,32073423.04,101922113.97,69848690.93,171770804.9,425013700.0,7.546444512259,40.415357175545,10.4162,4474716992.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
78,688265,南模生物,2026-08-13,1家机构买入，成功率39.99%,52.42,20.0092,26750501.42,71206216.47,44455715.05,115661931.52,288832100.0,9.261609571789,40.044694312024,7.6259,4086847351.46,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
79,688496,*ST清越,2026-08-13,普通席位买入，成功率40.04%,1.04,19.5402,-461594.51,2189172.26,2650766.77,4839939.03,18183900.0,-2.538479149137,26.616617062346,7.7952,247463424.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
80,688635,长进光子,2026-08-13,普通席位买入，成功率42.84%,311.9,3.9597,-27240640.07,266253865.96,293494506.03,559748371.99,1733253000.0,-1.571648228504,32.294672040954,30.548,5538257652.3,有价格涨跌幅限制的日换手率达到30%的前五只证券,,,,
81,920117,龙鑫智能,2026-08-13,主力做T，成功率52.75%,31.53,-5.0015,-27702012.59,21270817.12,48972829.71,70243646.83,245993600.0,-11.261273703869,28.555070875828,36.7952,637347514.59,当日换手率达到20%的前5只股票,,,,
82,920138,杰理科技,2026-08-13,主力做T，成功率23.08%,46.59,-12.5235,55341114.82,117616011.82,62274897.0,179890908.82,883910500.0,6.260940991198,20.351710814613,52.6875,1612654938.63,当日换手率达到20%的前5只股票,,,,
83,920176,维琪科技,2026-08-13,卖一主卖，成功率32.62%,63.3,-9.2083,-34005388.3,17175659.46,51181047.76,68356707.22,177649600.0,-19.141832179752,38.478390730967,33.4922,503045100.0,当日换手率达到20%的前5只股票,,,,
84,920222,益坤电气,2026-08-13,1家机构买入，成功率17.53%,29.42,3.9209,-7517591.98,12290984.68,19808576.66,32099561.34,127451300.0,-5.898403531388,25.185746508666,38.8081,340171397.8,当日换手率达到20%的前5只股票,,,,
85,920367,新赣江,2026-08-13,1家机构买入，成功率40.17%,31.13,29.6003,25695305.54,56409756.62,30714451.08,87124207.7,378548400.0,6.78785210557,23.015341684181,33.0907,1307228953.14,当日价格振幅达到30%的前5只股票,,,,
86,920367,新赣江,2026-08-13,1家机构买入，成功率40.17%,31.13,29.6003,25695305.54,56409756.62,30714451.08,87124207.7,378548400.0,6.78785210557,23.015341684181,33.0907,1307228953.14,当日换手率达到20%的前5只股票,,,,
87,920367,新赣江,2026-08-13,1家机构买入，成功率40.17%,31.13,29.6003,25695305.54,56409756.62,30714451.08,87124207.7,378548400.0,6.78785210557,23.015341684181,33.0907,1307228953.14,当日收盘价涨幅达到20%的前5只股票,,,,
